userLanguage	distributionChannel	_recordId	duration	locationLongitude	responseId	progress	PROLIFIC_PID	startDate	QID6	QID3	recordedDate	QID5	endDate	status	QID8	finished	locationLatitude	QID1	ipAddress	QID2
EN	anonymous	R_51bMPhw6EtK8cki	230	-77.3451	R_51bMPhw6EtK8cki	100	654503ae77aaea7a1360240c	2023-12-18T21:34:58Z	1	1	2023-12-18T21:38:48.852Z	2	2023-12-18T21:38:48Z	0	5	1	38.6438	4	174.219.249.11	1
EN	anonymous	R_1q68MKJe0tNKBc5	152	-74.2727	R_1q68MKJe0tNKBc5	100	5fc428fae5097e713227eb40	2023-12-18T21:36:40Z	1	2	2023-12-18T21:39:13.242Z	3	2023-12-18T21:39:12Z	0	5	1	40.7304	1	74.105.154.184	3
EN	anonymous	R_3qaeylk3safbFRL	168	-82.3959	R_3qaeylk3safbFRL	100	614f5734ca61d17940ac78b3	2023-12-18T21:36:55Z	1	2	2023-12-18T21:39:43.463Z	3	2023-12-18T21:39:43Z	0	5	1	34.7981	3	12.42.17.114	1
EN	anonymous	R_5xmXwLeL6vCkqWJ	296	-81.4317	R_5xmXwLeL6vCkqWJ	100	6500d3341fca3892ad10d44a	2023-12-18T21:34:55Z	1	1	2023-12-18T21:39:52.214Z	1	2023-12-18T21:39:51Z	0	5	1	28.6225	1	172.56.74.77	1
EN	anonymous	R_6exGwlbhflSKC62	236	-97.7243	R_6exGwlbhflSKC62	100	55b94954fdf99b45b103420b	2023-12-18T21:36:09Z	1	2	2023-12-18T21:40:07.154Z	3	2023-12-18T21:40:06Z	0	5	1	30.2304	1	204.137.227.200	1
EN	anonymous	R_6aCELMuKdLfagHT	118	-88.1995	R_6aCELMuKdLfagHT	100	62ce6179fe6f8ec7e399cea0	2023-12-18T21:38:09Z	2	3	2023-12-18T21:40:08.526Z	2	2023-12-18T21:40:07Z	0	1	1	41.8879	1	98.46.191.162	3
EN	anonymous	R_1G49sF08I4HPB9D	96	-117.2862	R_1G49sF08I4HPB9D	100	645fd4de4a40a80d6cbe70f2	2023-12-18T21:38:42Z	1	2	2023-12-18T21:40:19.850Z	3	2023-12-18T21:40:19Z	0	5	1	33.1955	1	174.65.241.27	1
EN	anonymous	R_7LaIsGwSDusyssh	401	-80.6568	R_7LaIsGwSDusyssh	100	6409220c6166510beff12d14	2023-12-18T21:33:38Z	1	3	2023-12-18T21:40:20.199Z	3	2023-12-18T21:40:19Z	0	5	1	28.2764	1	45.24.106.179	1
EN	anonymous	R_3gqC7xnvEqrhQRl	233	-105.0269	R_3gqC7xnvEqrhQRl	100	55c68d2bfdf99b67b7b50a91	2023-12-18T21:36:43Z	1	1	2023-12-18T21:40:37.651Z	2	2023-12-18T21:40:37Z	0	5	1	39.7351	1	184.96.202.171	3
EN	anonymous	R_6AlC3MFS2gCTuN3	339	-98.8104	R_6AlC3MFS2gCTuN3	100	6563533cc6a66751799ad06a	2023-12-18T21:36:14Z	3	2	2023-12-18T21:41:55.184Z	3	2023-12-18T21:41:54Z	0	3	1	26.3942	1	35.147.41.15	1
EN	anonymous	R_6dm4tv8ThOPFniI	92	-84.4455	R_6dm4tv8ThOPFniI	100	6110a3cea048e6a387686a00	2023-12-18T21:40:51Z	3	3	2023-12-18T21:42:24.438Z	1	2023-12-18T21:42:23Z	0	2	1	33.7838	1	199.185.175.67	1
EN	anonymous	R_7g5FZC87RQArakf	285	-95.5564	R_7g5FZC87RQArakf	100	655ce483f596bc00eab95320	2023-12-18T21:38:43Z	1	1	2023-12-18T21:43:29.624Z	3	2023-12-18T21:43:29Z	0	5	1	29.7335	1	75.217.150.181	2
EN	anonymous	R_3P1NXHMCkqub3WC	259	-116.2001	R_3P1NXHMCkqub3WC	100	63f804e5483d1817b4f207b9	2023-12-18T21:39:15Z	1	1	2023-12-18T21:43:35.794Z	4	2023-12-18T21:43:35Z	0	5	1	43.6165	1	172.56.201.48	1
EN	anonymous	R_1jkMb4n8ZH7s81H	500	-94.3652	R_1jkMb4n8ZH7s81H	100	572036a1fd3a5200093c126b	2023-12-18T21:35:27Z	1	2	2023-12-18T21:43:48.498Z	3	2023-12-18T21:43:47Z	0	5	1	38.9949	1	12.25.146.170	1
EN	anonymous	R_6OrfUumuRCVI3LC	286	-118.3769	R_6OrfUumuRCVI3LC	100	5e6cade3d92ffb26677dbd84	2023-12-18T21:39:02Z	2	1	2023-12-18T21:43:49.947Z	1	2023-12-18T21:43:49Z	0	3	1	34.0598	1	98.147.152.225	1
EN	anonymous	R_6scUFXpoOrIkA6Z	150	-84.3861	R_6scUFXpoOrIkA6Z	100	644bd5f65278efdaecb4f62f	2023-12-18T21:41:34Z	1	2	2023-12-18T21:44:05.421Z	3	2023-12-18T21:44:04Z	0	5	1	33.8019	1	170.55.121.162	3
EN	anonymous	R_5obSHJ5ruyJiCWZ	76	-76.4926	R_5obSHJ5ruyJiCWZ	100	5fc98fe1b105424d4b03381b	2023-12-18T21:42:52Z	1	2	2023-12-18T21:44:09.761Z	3	2023-12-18T21:44:09Z	0	5	1	42.4444	1	128.84.126.107	1
EN	anonymous	R_3PmYmrqiRtKNlHi	141	-82.0263	R_3PmYmrqiRtKNlHi	100	6486379af229c305ab5e63fa	2023-12-18T21:42:22Z	1	2	2023-12-18T21:44:44.464Z	1	2023-12-18T21:44:43Z	0	5	1	26.6786	2	71.208.10.214	1
EN	anonymous	R_7YysniXvMXePN1n	160	-112.0902	R_7YysniXvMXePN1n	100	633129042bb1ab9f1847e81f	2023-12-18T21:42:05Z	1	1	2023-12-18T21:44:46.453Z	3	2023-12-18T21:44:45Z	0	5	1	33.5594	4	172.56.80.243	2
EN	anonymous	R_7TmOrT2CXg6ofER	155	-117.9663	R_7TmOrT2CXg6ofER	100	6413ed6a23881edc2e190e15	2023-12-18T21:42:38Z	1	1	2023-12-18T21:45:14.384Z	2	2023-12-18T21:45:13Z	0	5	1	33.6647	1	172.117.113.169	1
EN	anonymous	R_1B2WOkn8iPq5eQp	255	-96.8917	R_1B2WOkn8iPq5eQp	100	6478e9af7d038af16d294843	2023-12-18T21:41:17Z	1	2	2023-12-18T21:45:33.639Z	3	2023-12-18T21:45:33Z	0	5	1	32.9247	1	76.192.101.167	3
EN	anonymous	R_6uCgpyqh0fR7UEt	189	-76.4926	R_6uCgpyqh0fR7UEt	100	60fe4500b9d48a537a42f35a	2023-12-18T21:42:34Z	1	3	2023-12-18T21:45:44.343Z	3	2023-12-18T21:45:43Z	0	5	1	42.4444	1	76.37.146.98	2
EN	anonymous	R_7mtpe4YHza2H9LD	150	-157.8667	R_7mtpe4YHza2H9LD	100	655fa6bf1cfd3bd5343e7778	2023-12-18T21:43:16Z	1	1	2023-12-18T21:45:47.537Z	4	2023-12-18T21:45:47Z	0	5	1	21.3037	1	172.56.44.124	1
EN	anonymous	R_6wB5j2EIAq2L23q	266	-82.6307	R_6wB5j2EIAq2L23q	100	5a4fab63eedc32000141ec5c	2023-12-18T21:41:32Z	1	1	2023-12-18T21:45:59.491Z	2	2023-12-18T21:45:58Z	0	5	1	34.5251	1	75.130.148.228	1
EN	anonymous	R_7g5dhwjwmBtfDUp	123	-111.841	R_7g5dhwjwmBtfDUp	100	62b49c65c45131879b8438d3	2023-12-18T21:44:11Z	1	1	2023-12-18T21:46:15.706Z	1	2023-12-18T21:46:15Z	0	5	1	40.6982	1	136.38.96.108	1
EN	anonymous	R_5GNyhPw1S3pq8lO	134	-83.8164	R_5GNyhPw1S3pq8lO	100	600c167e28de48080e812884	2023-12-18T21:44:01Z	1	1	2023-12-18T21:46:16.681Z	3	2023-12-18T21:46:16Z	0	5	1	36.1174	1	97.148.96.52	1
EN	anonymous	R_5OoF9wQazS2w1QR	398	-118.063	R_5OoF9wQazS2w1QR	100	60ff5cd36ed5a267f814bf36	2023-12-18T21:41:08Z	1	2	2023-12-18T21:47:46.607Z	3	2023-12-18T21:47:46Z	0	5	1	33.7976	1	45.51.41.82	1
EN	anonymous	R_5DnJVNb1q2xPcYX	146	-82.0032	R_5DnJVNb1q2xPcYX	100	656a0556c9c6effafb945b4b	2023-12-18T21:47:07Z	1	2	2023-12-18T21:49:33.811Z	1	2023-12-18T21:49:33Z	0	5	1	39.9275	1	74.129.5.57	1
EN	anonymous	R_50kGwmpV4UjsCAA	1075	-83.1493	R_50kGwmpV4UjsCAA	100	6121e36192d8fd0203910a30	2023-12-18T21:38:16Z	1	1	2023-12-18T21:56:12.726Z	1	2023-12-18T21:56:12Z	0	4	1	42.3914	1	172.58.127.22	1
EN	anonymous	R_6F4KnadWDZn7CvR	377	-74.9721	R_6F4KnadWDZn7CvR	100	656f4c13a2c8f844c7ec6b94	2023-12-25T15:26:00Z	3	2	2023-12-25T15:32:19.419Z	3	2023-12-25T15:32:18Z	0	5	1	39.884	1	108.24.175.139	1
