endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-18T21:38:42Z	5ffc9acaaacffc0cb55ba3ab	1	2023-12-18T21:38:43.384Z	R_7XYFE9opgYhFMJj	EN	R_7XYFE9opgYhFMJj	100	2	39.0122	1	1	0	2	2	4	-87.7449	173.17.111.210	2023-12-18T21:37:04Z	98	anonymous	1
2023-12-18T21:38:48Z	654503ae77aaea7a1360240c	1	2023-12-18T21:38:48.852Z	R_51bMPhw6EtK8cki	EN	R_51bMPhw6EtK8cki	100	2	38.6438	1	4	0	5	1	4	-77.3451	174.219.249.11	2023-12-18T21:34:58Z	230	anonymous	1
2023-12-18T21:39:12Z	5fc428fae5097e713227eb40	3	2023-12-18T21:39:13.242Z	R_1q68MKJe0tNKBc5	EN	R_1q68MKJe0tNKBc5	100	3	40.7304	1	1	0	5	2	4	-74.2727	74.105.154.184	2023-12-18T21:36:40Z	152	anonymous	1
2023-12-18T21:39:43Z	614f5734ca61d17940ac78b3	1	2023-12-18T21:39:43.463Z	R_3qaeylk3safbFRL	EN	R_3qaeylk3safbFRL	100	3	34.7981	1	3	0	5	2	4	-82.3959	12.42.17.114	2023-12-18T21:36:55Z	168	anonymous	1
2023-12-18T21:39:51Z	6500d3341fca3892ad10d44a	1	2023-12-18T21:39:52.214Z	R_5xmXwLeL6vCkqWJ	EN	R_5xmXwLeL6vCkqWJ	100	1	28.6225	1	1	0	5	1	4	-81.4317	172.56.74.77	2023-12-18T21:34:55Z	296	anonymous	1
2023-12-18T21:40:06Z	55b94954fdf99b45b103420b	1	2023-12-18T21:40:07.154Z	R_6exGwlbhflSKC62	EN	R_6exGwlbhflSKC62	100	3	30.2304	1	1	0	5	2	4	-97.7243	204.137.227.200	2023-12-18T21:36:09Z	236	anonymous	1
2023-12-18T21:40:07Z	62ce6179fe6f8ec7e399cea0	3	2023-12-18T21:40:08.526Z	R_6aCELMuKdLfagHT	EN	R_6aCELMuKdLfagHT	100	2	41.8879	1	1	0	1	3	4	-88.1995	98.46.191.162	2023-12-18T21:38:09Z	118	anonymous	2
2023-12-18T21:40:19Z	645fd4de4a40a80d6cbe70f2	1	2023-12-18T21:40:19.850Z	R_1G49sF08I4HPB9D	EN	R_1G49sF08I4HPB9D	100	3	33.1955	1	1	0	5	2	4	-117.2862	174.65.241.27	2023-12-18T21:38:42Z	96	anonymous	1
2023-12-18T21:40:19Z	6409220c6166510beff12d14	1	2023-12-18T21:40:20.199Z	R_7LaIsGwSDusyssh	EN	R_7LaIsGwSDusyssh	100	3	28.2764	1	1	0	5	3	4	-80.6568	45.24.106.179	2023-12-18T21:33:38Z	401	anonymous	1
2023-12-18T21:40:37Z	55c68d2bfdf99b67b7b50a91	3	2023-12-18T21:40:37.651Z	R_3gqC7xnvEqrhQRl	EN	R_3gqC7xnvEqrhQRl	100	2	39.7351	1	1	0	5	1	4	-105.0269	184.96.202.171	2023-12-18T21:36:43Z	233	anonymous	1
2023-12-18T21:41:54Z	6563533cc6a66751799ad06a	1	2023-12-18T21:41:55.184Z	R_6AlC3MFS2gCTuN3	EN	R_6AlC3MFS2gCTuN3	100	3	26.3942	1	1	0	3	2	4	-98.8104	35.147.41.15	2023-12-18T21:36:14Z	339	anonymous	3
